,CLM_NBR,AUTO_ACCIDENT_DESC,CLAIMANT_STATUS,APPR_DAM_EST_REC_CNT,VEH_COLR_TXT,VEH_DAM_TXT,CLMT_VEH_MDL_NM,CLMT_VEH_YR,VEH_TYPE,VEH_PRIMARY_PT_OF_DAMAGE,AIRBAG_DEPLOYED,VEH_SPEED_AT_IMPACT
649,YB6XOCC,Multi Veh - Unclear Liab,Closed with Payment,1,SLATE,NO VISIBLE DMG,TRAVERSE 2,2011,Automobile,Complete Front End,None,Unknown
651,6S01KUK,Multi Veh - Unclear Liab,Closed with Payment,2,PRL WHITE,PS REAR CORNER IMPA,ACCORD HYB,2015,Automobile,Passenger Rear Corner,None,21-50 mph
660,6QXIUBM,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,FRONT END DAMAGES-,EQUINOX LT,2005,Automobile,Complete Front End,None,21-50 mph
669,EDZ4MVS,Multi Veh - Unclear Liab,Closed without Payment,1,WHITE,REAR BUMPER UNKNOWN,ACCENT GLS,2007,Automobile,Complete Rear End,None,Parked or Stopped
673,DTN7M19,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI BACK SMASHED IN,CRUZE LTZ/,2011,Automobile,Complete Rear End,None,Parked or Stopped
679,ZVPLK6S,Multi Veh - Unclear Liab,Closed without Payment,0,DARK BLUE,CENTER REAR BUMPER,F-150 SUPE,2001,Automobile,Complete Rear End,Unknown,10-20 mph
680,ILY1982,Multi Veh - Unclear Liab,Closed with Payment,1,DARK GREY,POI-R QTR PANEL PS,TAHOE,2004,Automobile,Passenger Rear Corner,None,Below 10 mph
682,UJ4OR26,Multi Veh - Unclear Liab,Closed with Payment,1,BLUE,BOTH SIDES OF IV,328XI AWD,2011,Automobile,Driver Front Corner,None,Unknown
688,U454NQD,Multi Veh - Unclear Liab,Closed with Payment,2,BLACK,BACK BUMPER FELL DO,COROLLA L/,2012,Automobile,Complete Rear End,None,21-50 mph
692,YKT6LAG,Multi Veh - Unclear Liab,Closed with Payment,1,White,FRNT END PUSHED IN,ELANTRA GL,2012,Automobile,Complete Front End,None,Unknown
696,CPQ9GL4,Single Veh,Closed with Payment,1,WHITE,D/S TIRE IS FLATHOO,CRUZE 2LT/,2012,Automobile,Complete Driver Side,More than one,Over 50 mph
699,FXHKNLT,Multi Veh - Unclear Liab,Closed without Payment,1,BLACK,POI: REAR END  ENTI,DAKOTA SLT,2005,Automobile,Complete Rear End,None,Parked or Stopped
701,U8HX8WI,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,DMG TO P/S FRONT WH,RX 330 AWD,2005,Automobile,Passenger Front Corner,None,Unknown
703,A20XOCS,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,MIDDLE FRONT HOOD/B,A4 2.0T QU,2011,Automobile,Complete Front End,Unknown,Unknown
707,4Q85JGA,Multi Veh - Unclear Liab,Closed with Payment,2,Silver,POI: COMPLETE FRONT,AVALON XLE,2014,Automobile,Complete Front End,None,Below 10 mph
709,EAWA5DL,Multi Veh - Unclear Liab,Closed with Payment,3,BLACK,SUPP PS DENTED AN,CHALLENGER,2017,Automobile,Complete Passenger Side,None,Below 10 mph
711,QNPOW1P,Multi Veh - Unclear Liab,Closed with Payment,1,WHITE,PRIMARY POINT OF DA,AZERA SE/A,2007,Automobile,Driver Front Corner,None,Parked or Stopped
715,6UEE6ON,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,R/E CAVED IN MUFFLE,CAMRY LE/C,2004,Automobile,Complete Rear End,None,Parked or Stopped
727,IQWRA5R,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,PS CENTER,ACCORD EX,2018,Automobile,Passenger Front Corner,More than one,Below 10 mph
729,8PH92O7,Multi Veh - Unclear Liab,Closed with Payment,1,RED,D/S FRT END SMASHED,AZTEK AWD,2004,Automobile,Passenger Front Corner,None,10-20 mph
757,0THAQSY,Multi Veh - Unclear Liab,Closed with Payment,1,BROWN,POI: FRONT BUMPER P,BLAZER,1997,Automobile,Complete Front End,None,Unknown
759,D3MYSJW,Multi Veh - Unclear Liab,Closed with Payment,2,Silver,FR BUMPER DMGED AND,ACCORD EX,2009,Automobile,Complete Front End,Unknown,Below 10 mph
763,PL8TYNQ,Multi Veh - Unclear Liab,Closed with Payment,3,BURGANDY,POI- UNKNOWN EXTENT,EDGE SEL A,2011,Automobile,Complete Rear End,None,Over 50 mph
775,14Z029R,Multi Veh - Unclear Liab,Closed with Payment,1,RED,FRONT END AND CRACK,STRATUS SX,2006,Automobile,Complete Front End,None,Below 10 mph
781,OXQ75Y0,Multi Veh - Unclear Liab,Closed with Payment,3,GREEN,DENT IN FRONT END,RANGER XL/,2000,Automobile,Complete Front End,None,Unknown
785,GOFBU01,Single Veh,Closed with Payment,1,BLACK CHERRY,REAR BUMPER BROKEN,SORENTO LX,2011,Automobile,Complete Rear End,None,Parked or Stopped
787,FAUKNHJ,Multi Veh - Unclear Liab,Closed with Payment,2,Red,POI: FRONT END UNK,CAMRY BASE,2009,Automobile,Complete Front End,None,Unknown
797,XYJ5583,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,REAR END DISPERSED:,FIT,2013,Automobile,Complete Rear End,None,Below 10 mph
801,V76XTN4,Multi Veh - Unclear Liab,Closed with Payment,1,GRAY,FRNT D/S BUMPER GRI,SONATA GLS,2009,Automobile,Driver Front Corner,More than one,Unknown
803,6QTOTUI,Single Veh,Closed with Payment,1,BROWN,POI: ENTIRE FRT SMA,CAMRY LE,2004,Automobile,Complete Front End,None,21-50 mph
806,6EJN70U,Multi Veh - Unclear Liab,Closed with Payment,2,SILVER,POI- F/E D/S DMG- B,RANGE ROVE,2012,Automobile,Driver Front Corner,One,Below 10 mph
809,LGT1MTR,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI ENTIRE REAR P/S,ALTIMA,2014,Automobile,Passenger Rear Corner,More than one,10-20 mph
813,D0ZMLAQ,Multi Veh - Unclear Liab,Closed without Payment,1,SILVER,POI-P/S DMG/BENT FR,ODYSSEY EX,2002,Automobile,Complete Passenger Side,None,10-20 mph
816,T629K65,Single Veh,Closed with Payment,1,SILVER,TOTALLED DAMAGE,CAMRY BASE,2011,Automobile,All Over,Unknown,Unknown
819,TYEYSIZ,Multi Veh - Unclear Liab,Closed with Payment,1,SILVER,POI: FRONT END/HOOD,9-3 ARC,2004,Automobile,Complete Front End,None,Parked or Stopped
828,4VG7VYP,Multi Veh - Unclear Liab,Closed with Payment,1,BLACK,"FRT END DMG, D/S FR",PILOT TOUR,2015,Automobile,Complete Front End,None,Unknown
